Channel Name,Total Followers,Avg Views/video,Avg Likes/video,Avg Comments/video
Mike Donavanik,21111,1563.28,26.97,4.9
PAUL PARKMAN,20896,24392.93,212.43,11.24
Zoom,20099,10889.2,6.64,0.07
Piston Cup Productions,19084,46422.66,123.9,47.89
Conquering History Games,18996,2380.2,101.17,22.25
U.S. Small Business Administration,18965,1881.85,12.84,0.78
ultiworld,18784,2399.74,21.24,1.68
USA TODAY Sports,18732,983.17,4.23,5.13
Karlie Thoma,18445,9911.74,310.35,30.76
The Ohio State University,18430,12449.74,68.77,4.47
UDAYA Yoga & Fitness,17690,885.47,23.81,1.25
National Fire Protection Association,17590,913.64,6.53,0.06
bellicon USA,17481,21567.39,61.23,3.65
Atlanta Black Star,17408,19532.57,257.29,195.57
Pebble,17251,36037.16,141.23,23.68
Morph Costumes,17125,10052.18,32.49,3.74
Austin Perkins,17090,32830.62,689.31,128.56
Hearthstone tournaments,17080,706.69,5.82,1.54
Arturo Covarrubias,17037,176143.08,790.42,55.68
Spencer Moeller,16976,15367.98,544.71,109.46
